College Name,Type,Address,City ,ZIP code,Website ,Fips County,Longitude,Latitude
University of Virginia-Main Campus,1,1827 University Avenue,Charlottesville,22903-2628,www.virginia.edu,51003,-78.503428,38.035665
Virginia Commonwealth University,1,910 W Franklin St,Richmond,23284-2512,https://www.vcu.edu/,51760,-77.452697,37.54962
Virginia Highlands Community College,4,100 VHCC Drive,Abingdon,24212-0828,www.vhcc.edu,51191,-82.001118,36.698866
Virginia Military Institute,1,VMI Parade,Lexington,24450-0304,www.vmi.edu,51678,-79.437067,37.7896
Virginia Polytechnic Institute and State University,1,210 Burruss Hall  800 Drillfield Dr.,Blacksburg,24061-0131,WWW.VT.EDU,51121,-80.423675,37.229012
Virginia State University,1,1 Hayden Drive,Petersburg,23806,www.vsu.edu,51041,-77.419026,37.234692
Virginia Union University,2,1500 N Lombardy St,Richmond,23220,www.vuu.edu,51760,-77.450903,37.562405
Virginia Wesleyan University,2,5817 Wesleyan Drive,Virginia Beach,23455,www.vwu.edu,51810,-76.18606,36.868417
Virginia Western Community College,4,3094 Colonial Ave,Roanoke,24015,virginiawestern.edu/,51770,-79.973011,37.245029
Washington and Lee University,2,204 West Washington Street,Lexington,24450-2116,www.wlu.edu/,51678,-79.443018,37.788939
Wytheville Community College,4,1000 E Main Street,Wytheville,24382-3308,www.wcc.vccs.edu,51197,-81.071181,36.95731
